GHGRP ID,Landfill ID,Facility.Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
,36,Acme LF,CA,,950 Waterbird Way,Martinez,Contra Costa,94553,38.034,-122.09056,No,Private,Acme Fill Corporation,Acme Fill Corporation,1954,2003,Closed,516,,80,,,"10,800,000",2002,"19,210",,Unknown,Not used,No,,Yes,1.8,,50,Yes,,,,Usually flares 24/7.
,37,Aerojet Liquid Rocket Company LF,CA,Aerojet Class III Solid Waste LF,,Rancho Cordova,Sacramento,95670,38.58333,-121.3,No,Private,Aerojet,Aerojet,,,Unknown,,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,
1004335,349,All Purpose Landfill,CA,Santa Clara County LF; City of Santa Clara LF,5401 Lafayette Street,Santa Clara,Santa Clara,95054,37.41639,-121.97056,No,Public,"City of Santa Clara, CA","City of Santa Clara, CA",1962,1996,Closed,,210,50,,"5,501,512","5,501,512",1996,"18,742",1996,No,Not used,No,1.21,Yes,0.364,2017,40.2,Yes,1,,,"2012-75 wells, system capacity=1300 acfm."
1006197,179,Allied Imperial Landfill,CA,Republic Imperial Landfill; MALS Properties,104 East Robinson Road,Imperial,Imperial,92251,32.858,-115.526,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1971,2072,Open,162,,,,"13,952,388","4,487,015",2017,"131,348",2017,No,Not used,No,,Yes,0.197,2017,33.4,Yes,,0.197,2017,
1007699,39,Altamont Landfill & Resource Recovery Facility,CA,,10840 Altamont Pass Road,Livermore,Alameda,94551,37.75,-121.65667,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1980,2061,Open,426,237.3,300,175,"131,022,425","60,362,396",2017,"1,610,635",2017,Yes,Several times per year,No,11,Yes,8.33,2012,51.5,Yes,2,,,"9/10-158 wells over 230 acres, system installed in 1988, 2 enclosed flares.; 2012-127 wells, system capacity=13604 acfm."
,40,Alturas SLF,CA,,"Alturas Dump Road
off Westside Road",Alturas,Modoc,96101,41.45861,-120.56556,No,Public,"Modoc County, CA","Modoc County, CA",,2028,Open,27.5,,,,,"33,872",,0,2004,Unknown,Not used,No,,No,,,,No,,,,
,41,Amador County SLF,CA,,6500 Buena Vista Road,Ione,Amador,95640,38.30315,-120.91147,No,Public,"Amador County, CA",Amador Disposal Service Inc,,2004,Closed,114,,,,,"1,013,553",,430,2004,Unknown,Not used,No,,Yes,0.27,2013,,Yes,,0.27,2013,
1004417,42,American Avenue Landfill,CA,,18950 West American Avenue,Kerman,Fresno,93630,36.66171,-120.1457,No,Public,"Fresno County, CA","Fresno County, CA",1971,2044,Open,367,246,,100,"26,838,800","13,681,189",2017,"529,878",2017,Yes,Several times per year,No,3,Yes,2.216,2017,47.3,Yes,1,2.216,2017,"2010-64 wells, system capacity=1700 acfm."
1004465,44,American Canyon SLF,CA,,End of Eucalyptus Drive,American Canyon,Napa,94503,38.18056,-122.27556,No,Public,Napa-Vallejo Waste Management Authority,Napa-Vallejo Waste Management Authority,1966,1995,Closed,,103.3,60,,"4,830,052","4,830,026",1995,"154,826",1995,No,Not used,No,1.29,Yes,0.369,2017,50.4,Yes,,0.369,2017,"2012-78 wells, system capacity=800 acfm."
1007839,45,Anderson Landfill,CA,Anderson Solid Waste Disposal Site,18703 Cambridge Road,Anderson,Shasta,96007,40.45,-122.283334,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1977,2103,Open,165,76.2,,,"16,367,311","3,670,394",2017,"140,257",2017,No,Not used,No,1.18,Yes,0.985,2017,49.7,Yes,,0.985,2017,"2012-36 wells, system capacity=1500 scfm."
,46,Annapolis LF,CA,,,Annapolis,Sonoma,95412,38.716667,-123.366667,No,Public,"Sonoma County, CA","Sonoma County, CA",,1995,Closed,4,,,,,"45,289",,"2,646",1994,Unknown,Not used,No,,No,,,,No,,,,
1007710,47,Antelope Valley Recycling and Disposal Facility,CA,,1200 W. City Ranch Road,Palmdale,Los Angeles,93551,34.56768,-118.14994,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1958,2041,Open,123,82.7,,147,"23,693,955","8,719,159",2017,"611,361",2017,No,Not used,No,1.61,Yes,1.211,2017,39.9,Yes,1,1.211,2017,"1/03-One flare being designed for 2,200 scfm, but will flare 850 scfm to start in 2003.; 9/10-42 wells over 57 acres, system installed in 2005, 1 enclosed flare.; 2012-44 wells, system capacity=2200 scfm."
,48,Anza Disposal Site,CA,,,Anza,Riverside,92539,33.55,-116.666667,No,Public,"Riverside County, CA","Riverside County, CA",,1999,Closed,40,,,,,"381,600",,814,1998,Unknown,Not used,No,,No,,,,No,,,,
,49,Apple Valley Disposal Site,CA,,Yucca Loma Road,Apple Valley,San Bernardino,92307,34.5,-117.11,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1964,1997,Closed,38,,,50,"813,000","609,750",,,,Unknown,Not used,No,,No,,,,No,,,,
,1942,Arizona Street LF,CA,,,San Diego,San Diego,,,,No,Public,"City of San Diego, CA","City of San Diego, CA",1952,1974,Closed,68,,,,,"1,940,000",1974,,,Unknown,Not used,No,,Yes,0.43,2012,33,Yes,1,,,3/09-74 wells installed ~1990.; 9/12-79 gas extraction wells.
1002689,50,Arvin SLF,CA,,5500 North Wheeler Ridge Road,Arvin,Kern,93203,35.1905,-118.9145,Yes,Public,"Kern County, CA","Kern County, CA",1971,2003,Closed,142,126.8,50,50,"4,171,392","4,171,392",,"71,250",2002,Unknown,Not used,No,0.925,Yes,0.402,2012,34.4,Yes,1,0.402,2012,"9/10-18 wells, gas collection began in 2001, 1 open flare.; 2012-17 wells, system capacity=600 acfm."
,351,Ascon & Desser Landfills,CA,Ascon LF,,Wilmington,Los Angeles,,33.798068,-118.238409,No,Private,Desser; Watson Energy Systems,,1964,1978,Closed,62,,100,,,"3,600,000",,0,,Unknown,Not used,No,,Yes,1,,50,Yes,,,,
,51,Austin Road Landfill,CA,,9999 South Austin Road,Manteca,San Joaquin,95336,37.7795,-121.1767,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1954,2020,Open,355,,35,35,"30,624,000","7,354,000",2002,"1,232,753",2004,Unknown,Not used,No,,Yes,0.5,,50,Yes,,0,,9/18-Had 18 vertical extraction wells with 3 horizontal collectors.
1003328,52,Avenal Regional Landfill,CA,,"201 North Hydril Road
1200 Skyline Boulevard",Avenal,Kings,93204,36.01195,-120.11535,No,Public,"City of Avenal, CA","Waste Connections, Inc.",1976,2108,Open,123.2,56.2,,,"20,803,561","15,600,000",2006,"110,193",2017,Yes,Several times per year,No,1.2,Yes,0.833,2017,41.6,Yes,,0.833,2017,
1007682,53,"Azusa Land Reclamation Company, Inc.",CA,,1211 W. Gladstone Street,Azusa,Los Angeles,91702,34.1159,-117.929,No,Private,"Waste Management, Inc.","Waste Management, Inc.",1968,1991,Closed,302,135.5,180,,"18,420,000","7,900,000",,0,,No,Not used,No,5.67,Yes,2.233,2017,27.7,Yes,4,2.233,2017,"1/03-One McGill flare, three Hirt flares.; 2012-159 wells, system capacity=4000 scfm."
1000046,55,Badlands SLF,CA,,31125 Ironwood Avenue,Moreno Valley,Riverside,92555,33.95349,-117.11758,No,Public,"Riverside County, CA","Riverside County, CA",1966,2040,Open,141,109.6,,140,"24,255,000","13,602,369",2017,"846,914",2017,No,Not used,No,2.95,Yes,1.899,2017,46.6,Yes,,,,"2012-75 wells, system capacity=1250 acfm."
,57,Baker Refuse Disposal Site,CA,,72799 Soda Baker Road,Baker,San Bernardino,92309,35.233,-116.061,No,Public,"San Bernardino County, CA",Recology,1963,1997,Closed,10,,,40,,"158,794",,,,Unknown,Not used,No,,No,,,,No,,,,
1007654,11260,Bakersfield City Landfill,CA,,4200 Panorama Drive,Bakersfield,Kern,93306,35.41418,-118.94949,No,Public,"City of Bakersfield, CA","City of Bakersfield, CA",1956,1983,Closed,,85,,,,,,,,Unknown,Not used,No,0.583,Yes,0.196,2012,27.5,Yes,,0.196,2012,"2012-67 wells, system capacity=400 acfm."
1002896,58,Bakersfield Metropolitan SLF (BENA),CA,,"2951 Neumarkel Road
17 miles E of Bakersfield, off Hwy 58",Edison,Kern,93220,35.34387,-118.75847,No,Public,"Kern County, CA","Kern County, CA",1992,2045,Open,229,114.5,200,100,"27,204,423","9,898,493",2017,"449,570",2017,Yes,Occasionally but not every year,No,2.14,Yes,1.657,2017,50.4,Yes,1,1.657,2017,"4/09-GCCS installed in 2004, (1) John Zink ZTOF 1,200 cfm flare.; 9/10-35 wells, gas collection began in 2004, 1 enclosed flare.; 2012-47 wells, system capacity=1200 acfm."
,59,Balance Rock Disposal Site,CA,,,Balance Rock,Tulare,93207,35.883334,-118.666667,No,Public,"Tulare County, CA","Tulare County, CA",,1998,Closed,10,,,,,"9,300",,,,Unknown,Not used,No,,No,,,,No,,,,
