Date,Parameter,Result.Value
9/19/2017,PFHpA,0
9/19/2017,PFHxS,56
9/19/2017,PFNA,0
9/19/2017,PFOS,130
9/19/2017,PFOA,0
9/20/2017,PFHpA,0
9/20/2017,PFHxS,48
9/20/2017,PFNA,0
9/20/2017,PFOS,120
9/20/2017,PFOA,0
9/21/2017,PFHpA,0
9/21/2017,PFHxS,50
9/21/2017,PFNA,0
9/21/2017,PFOS,120
9/21/2017,PFOA,0
9/22/2017,PFHpA,0
9/22/2017,PFHxS,51
9/22/2017,PFNA,0
9/22/2017,PFOS,120
9/22/2017,PFOA,21
9/23/2017,PFHpA,0
9/23/2017,PFHxS,54
9/23/2017,PFNA,0
9/23/2017,PFOS,130
9/23/2017,PFOA,20
9/26/2017,PFHpA,0
9/26/2017,PFHxS,55
9/26/2017,PFNA,0
9/26/2017,PFOS,130
9/26/2017,PFOA,20
10/3/2017,PFHpA,0
10/3/2017,PFHxS,61
10/3/2017,PFNA,0
10/3/2017,PFOS,140
10/3/2017,PFOA,23
10/10/2017,PFHpA,0
10/10/2017,PFHxS,66
10/10/2017,PFNA,0
10/10/2017,PFOS,150
10/10/2017,PFOA,27
10/17/2017,PFHpA,0
10/17/2017,PFHxS,66
10/17/2017,PFNA,0
10/17/2017,PFOS,150
10/17/2017,PFOA,28
10/24/2017,PFOS,380
10/24/2017,PFOA,24
10/31/2017,PFOS,140
10/31/2017,PFOA,26
11/7/2017,PFOS,190
11/7/2017,PFOA,22
11/14/2017,PFOS,150
11/14/2017,PFOA,23
11/21/2017,PFOS,180
11/21/2017,PFOA,21
11/28/2017,PFOS,130
11/28/2017,PFOA,21
12/12/2017,PFOS,140
12/12/2017,PFOA,22
1/2/2018,PFOS,160
1/2/2018,PFOA,25
2/20/2018,PFOS,120
2/20/2018,PFOA,24
3/12/2018,PFOS,130
3/12/2018,PFOA,26
4/3/2018,PFOS,140
4/3/2018,PFOA,24
5/1/2018,PFOS,230
5/1/2018,PFOA,24
6/13/2018,PFOS,110
6/13/2018,PFOA,23
7/11/2018,PFOS,110
7/11/2018,PFOA,21
8/14/2018,PFOS,100
8/14/2018,PFOA,0
9/11/2018,PFOS,120
9/11/2018,PFOA,23
10/16/2018,PFOS,100
10/16/2018,PFOA,21
11/6/2018,PFOS,110
11/6/2018,PFOA,0
12/12/2018,PFOS,100
12/12/2018,PFOA,0
1/8/2019,PFOS,110
1/8/2019,PFOA,0
2/12/2019,PFOS,100
2/12/2019,PFOA,0
3/19/2019,PFOS,110
3/19/2019,PFOA,21
4/17/2019,PFOS,100
4/17/2019,PFOA,17
5/14/2019,PFOS,110
5/14/2019,PFOA,18
6/18/2019,PFHpA,5.6
6/18/2019,PFHxS,46
6/18/2019,PFNA,5
6/18/2019,PFOS,99.7
6/18/2019,PFOA,15.8
7/17/2019,PFOS,99.1
7/17/2019,PFOA,15.3
8/14/2019,PFHpA,5
8/14/2019,PFHxS,42.7
8/14/2019,PFNA,5
8/14/2019,PFOS,86.3
8/14/2019,PFOA,13.9
9/11/2019,PFOS,96.3
9/11/2019,PFOA,17.2
10/16/2019,PFHpA,5.7
10/16/2019,PFHxS,47.6
10/16/2019,PFNA,5
10/16/2019,PFOS,101
10/16/2019,PFOA,15.9
